ticker,name,category,marketCap
LAND.L,LAND,unclassified,
LDO.MI,LDO,unclassified,
LHA.DE,LHA,unclassified,
LHAG.DE,LHAG,unclassified,
LIN.DE,LIN,large,
LLOY.L,LLOY,large,
LLY.N,LLY,large,
LMT.N,LMT,unclassified,
LOW.N,LOW,large,
LR.PA,LR,unclassified,
LRCX.OQ,LRCX,large,
LULU.OQ,LULU,unclassified,
LVMH.PA,LVMH,large,
MA.N,MA,large,
MAP.MC,MAP,unclassified,
MAR.OQ,MAR,mid,
MC.PA,MC,large,
MCD.N,MCD,large,
MCHI.N,MCHI,mid,
MCHP.OQ,MCHP,unclassified,
MDLZ.N,MDLZ,large,
MDLZ.OQ,MDLZ,large,
MELI.OQ,MELI,unclassified,
MKS.L,MKS,large,
MMM.N,MMM,large,
MNDI.L,MNDI,large,
MNST.OQ,MNST,unclassified,
MO.N,MO,large,
MONC.MI,MONC,large,
MRK.DE,MRK,large,
MRK.N,MRK,large,
MRNA.OQ,MRNA,unclassified,
MRO.L,MRO,large,
MRVL.OQ,MRVL,unclassified,
MS.N,MS,large,
MSFT.OQ,MSFT,large,
MT.AS,MT,unclassified,
MTCH.OQ,MTCH,unclassified,
MTS.MC,MTS,unclassified,
MU.OQ,MU,large,
MUV2.DE,MUV2,large,
NDA.DE,NDA,large,
NDA.HE,NDA,large,
NEE.N,NEE,large,
NESTE.HE,NESTE,unclassified,
NFLX.OQ,NFLX,large,
NG.L,NG,unclassified,
NIO.N,NIO,mid,
NKE.N,NKE,large,
NN.AS,NN,unclassified,
NOC.N,NOC,unclassified,
NTES.OQ,NTES,large,
NVDA.OQ,NVDA,large,
NVO.N,NVO,unclassified,
NXPI.OQ,NXPI,unclassified,
NXT.L,NXT,large,
OCDO.L,OCDO,unclassified,
OKTA.OQ,OKTA,unclassified,
OML.L,OML,unclassified,
OR.PA,OR,large,
ORCL.N,ORCL,large,
ORIONB.HE,ORIONB,unclassified,
ORLY.OQ,ORLY,unclassified,
OXY.N,OXY,mid,
PAYX.OQ,PAYX,unclassified,
PCAR.OQ,PCAR,unclassified,
PDD.OQ,PDD,large,
PEP.N,PEP,large,
PEP.OQ,PEP,large,
PFE.N,PFE,large,
PFG.L,PFG,large,
PG.N,PG,large,
PHIA.AS,PHIA,large,
PNC.N,PNC,unclassified,
POLY.L,POLY,unclassified,
PROX.BR,PROX,unclassified,
PRU.L,PRU,large,
PRY.MI,PRY,large,
PSN.L,PSN,large,
PSX.N,PSX,mid,
PTON.OQ,PTON,mid,
PUB.PA,PUB,large,
PUMG.DE,PUMG,unclassified,
PYPL.OQ,PYPL,large,
QCOM.OQ,QCOM,large,
RACE.MI,RACE,unclassified,
RACE.N,RACE,unclassified,
RAND.AS,RAND,unclassified,
RDSA.AS,RDSA,large,
REE.MC,REE,unclassified,
REGN.OQ,REGN,mid,
REL.L,REL,large,
REP.MC,REP,large,
RIO.L,RIO,unclassified,
RMS.PA,RMS,large,
ROST.OQ,ROST,unclassified,
RRTL.DE,RRTL,large,
RTX.N,RTX,large,
RWE.DE,RWE,large,
RWEG.DE,RWEG,unclassified,
SAMPO.HE,SAMPO,unclassified,
SAN.MC,SAN,large,
SAN.PA,SAN,large,
SAP.DE,SAP,large,
SAPG.DE,SAPG,unclassified,
SBRY.L,SBRY,unclassified,
SBUX.OQ,SBUX,large,
SDR.L,SDR,large,
SGEN.OQ,SGEN,large,
SGO.PA,SGO,large,
SGRE.MC,SGRE,unclassified,
SHEL.L,SHEL,large,
SHL.DE,SHL,unclassified,
