model,horizon,split,rmse_log,mae_log,rmse_rv,mae_rv,dir_acc
HAR-RV-log,10,val,0.5706981227504119,0.37643656476236487,107276.1697081702,1242.509194368936,0.6652715203540295
HAR-RV-log,10,test,0.603678063154766,0.4111342331580073,26.147325316105015,0.9130039413886383,0.668710896363749
HAR-RV-log,20,val,0.5221228851852618,0.3350948735349291,36658.54209864473,425.5482462020765,0.6442110314307803
HAR-RV-log,20,test,0.5557944219140766,0.36885750224381936,16.193743807091042,0.6276202612910835,0.6490491234590844
HAR-RV-log,30,val,0.5024358160602478,0.3171600795838018,20427.31491157202,237.55912139230153,0.6361867185625549
HAR-RV-log,30,test,0.5412935813013072,0.35281198588488916,12.454232913488163,0.519842796962282,0.6426934274917921
HAR-RV-log,40,val,0.4926657683394046,0.30698965129973754,13629.650149018915,158.75723859817026,0.6189917624163579
HAR-RV-log,40,test,0.5334983702746916,0.34520781290483854,10.382639153874665,0.46060417999683834,0.6296103574304652
HAR-RV-log,50,val,0.4880935132500227,0.30134205057539026,9375.890168193282,109.41833896902217,0.6140198874996667
HAR-RV-log,50,test,0.5286012984920252,0.3410894715151303,8.757029362324738,0.41494226534277917,0.6148547357987982
HAR-RV-log,60,val,0.48407995501168355,0.2959363441716703,7521.077878288606,87.87699266863628,0.611194049745408
HAR-RV-log,60,test,0.5264352596110621,0.3403721344522523,7.931351185061145,0.39292720718315793,0.6055627826302422
